iter	RMSE
0	0.4687477464
1	0.4649675404
2	0.4611919599
3	0.4575745272
4	0.45387055
5	0.4502613312
6	0.4466692391
7	0.4430272429
8	0.4394048024
9	0.4359194283
10	0.4325583532
11	0.4290625938
12	0.4256219234
13	0.4221383869
14	0.4187887697
15	0.4154213627
16	0.4121609074
17	0.408848939
18	0.4055860304
19	0.4024053084
20	0.3992449391
21	0.3961460698
22	0.3930270912
23	0.3900192221
24	0.3870142634
25	0.3840169746
26	0.3811814712
27	0.378245849
28	0.3753927334
29	0.372551938
30	0.3695980197
31	0.3667783867
32	0.3639447379
33	0.3611824764
34	0.3585016709
35	0.3558421432
36	0.3532456074
37	0.3506622653
38	0.3480128887
39	0.3453853136
40	0.3428330575
41	0.3402702828
42	0.3377534797
43	0.3353160225
44	0.3327555365
45	0.3303058857
46	0.3279898133
47	0.3256968727
48	0.3233709457
49	0.321079432
50	0.3188181249
51	0.3164943386
52	0.314372472
53	0.3121829459
54	0.3100052149
55	0.3079152049
56	0.3056404585
57	0.3035518885
58	0.3014345443
59	0.2993567266
60	0.2971994782
61	0.2952097741
62	0.2931422239
63	0.2911779989
64	0.2891031566
65	0.2872205493
66	0.2853407492
67	0.2834472315
68	0.281612064
69	0.2797080566
70	0.2778809338
71	0.276083265
72	0.2742470999
73	0.272477424
74	0.2707153657
75	0.2688815001
76	0.267110569
77	0.2653586598
78	0.2637088416
79	0.2619793054
80	0.2603616768
81	0.2587406615
82	0.2571772485
83	0.2556455233
84	0.2540679629
85	0.2524255206
86	0.250855319
87	0.2494107358
88	0.2478388265
89	0.2463647477
90	0.2449297959
91	0.243540172
92	0.242169014
93	0.2407803095
94	0.2392789755
95	0.2378339655
96	0.2364921964
97	0.2351950152
98	0.2338263153
99	0.2323939515
100	0.2310361396
101	0.2296629718
102	0.2283639654
103	0.2270014158
104	0.2257315531
105	0.2245076071
106	0.2232642538
107	0.2220289546
108	0.2207766623
109	0.2195737221
110	0.2183938712
111	0.2172610384
112	0.2160168983
113	0.2149650114
114	0.2138364062
115	0.2127265172
116	0.2115461034
117	0.2104222457
118	0.2092429876
119	0.2081030609
120	0.2070335209
121	0.2060538542
122	0.205031543
123	0.2040421949
124	0.2029607521
125	0.2019376675
126	0.2009861481
127	0.1999725478
128	0.199025089
129	0.1980644152
130	0.1970451337
131	0.1960404468
132	0.1950832698
133	0.1941639145
134	0.1932676594
135	0.1924258642
136	0.1915265434
137	0.1906666868
138	0.1897228303
139	0.1888992402
140	0.188080166
141	0.1872564607
142	0.1863767023
143	0.1855407078
144	0.1847499864
145	0.1839381653
146	0.1831504259
147	0.1823222221
148	0.1816136694
149	0.1808817815
150	0.1801885251
151	0.1794225729
152	0.1786876326
153	0.1779327608
154	0.1771959664
155	0.1764546587
156	0.1757404476
157	0.1750198188
158	0.1743349361
159	0.1736905276
160	0.172984748
161	0.1723183807
162	0.1716652546
163	0.1709881631
164	0.1703026691
165	0.1696800317
166	0.1690813442
167	0.1684907937
168	0.1679120029
169	0.1673192634
170	0.1666916614
171	0.1661176765
172	0.1656027006
173	0.1649847775
174	0.1644322388
175	0.1638730119
176	0.1632740809
177	0.1627668043
178	0.1622869799
179	0.1617822891
180	0.1612389187
181	0.1606892377
182	0.1601869456
183	0.1596883585
184	0.1591514759
185	0.1586168295
186	0.1581509207
187	0.1576295943
188	0.157101057
189	0.1566457488
190	0.1561836339
191	0.1557027792
192	0.1552845297
193	0.1548438808
194	0.1544526592
195	0.1539976036
196	0.1535126828
197	0.153118554
198	0.1526876332
199	0.1522980604
200	0.1518600374
201	0.1514562606
202	0.1510717546
203	0.1507040597
204	0.1503155153
205	0.1499249846
206	0.1494875855
207	0.1490527436
208	0.1486667209
209	0.1482975356
210	0.1479370806
211	0.1475693911
212	0.1472516113
213	0.1468999429
214	0.1465570386
215	0.1462355164
216	0.1458978277
217	0.1454776726
218	0.1450903061
219	0.1447656615
220	0.1444216613
221	0.1440302611
222	0.1437304484
223	0.1433474558
224	0.1430494238
225	0.1426814525
226	0.1423625775
227	0.1420142102
228	0.1417241148
229	0.1414523984
230	0.1411674764
231	0.140879024
232	0.1405667011
233	0.1402902292
234	0.1400389446
235	0.139731589
236	0.1394078436
237	0.1390993589
238	0.1388308711
239	0.1385275923
240	0.1382116419
241	0.1379103638
242	0.1376220092
243	0.1373978062
244	0.1371046248
245	0.1368706401
246	0.1366121343
247	0.1363645482
248	0.1360669985
249	0.1357998677
250	0.1355797025
251	0.1352825085
252	0.1350388383
253	0.1348096989
254	0.1345464135
255	0.1343398924
256	0.1340876289
257	0.1338418302
258	0.1335865758
259	0.1333574675
260	0.1331639621
261	0.1329498499
262	0.1326942862
263	0.1324935661
264	0.1322281524
265	0.1319996917
266	0.1317938449
267	0.131547932
268	0.1313322785
269	0.1311333345
270	0.130957026
271	0.1307478461
272	0.1305470177
273	0.1303435798
274	0.1301018965
275	0.1299064193
276	0.1296794292
277	0.1294746462
278	0.1292680977
279	0.1290891583
280	0.1288731166
281	0.1287143972
282	0.128514635
283	0.1283678206
284	0.1281542401
285	0.127998956
286	0.1277785413
287	0.1275829212
288	0.1273708878
289	0.1271754065
290	0.1269950645
291	0.1268435462
292	0.1266733491
293	0.1264920529
294	0.1262812206
295	0.1261394208
296	0.1259772548
297	0.1257760645
298	0.1256149233
299	0.125477398
300	0.1253458916
301	0.125188515
302	0.1250097965
303	0.1248635286
304	0.124726237
305	0.1245917621
306	0.1244178028
307	0.1242450592
308	0.1241244007
309	0.1239965771
310	0.1238335839
311	0.1236705752
312	0.1235322685
313	0.1233723509
314	0.1232439034
315	0.123117341
316	0.1229420862
317	0.1228168078
318	0.1226724317
319	0.122499085
320	0.1223246265
321	0.1221703451
322	0.122052029
323	0.1219424715
324	0.1217934002
325	0.1216351621
326	0.121510853
327	0.1213518584
328	0.1212511751
329	0.1211009825
330	0.120975342
331	0.1208550018
332	0.1207107528
333	0.1205642811
334	0.120451738
335	0.1203214711
336	0.1201749453
337	0.1200581939
338	0.1199632835
339	0.1198614116
340	0.1197751818
341	0.1196303626
342	0.1194995868
343	0.1193867936
344	0.1193002199
345	0.1191999326
346	0.1190687048
347	0.1189657462
348	0.1188609109
349	0.1187260253
350	0.1186349054
351	0.1185313643
352	0.1184247818
353	0.118345541
354	0.1182567636
355	0.1181736143
356	0.1180923641
357	0.118000143
358	0.1179101194
359	0.1177894304
360	0.1176653966
361	0.1175377852
362	0.1174378962
363	0.1173270471
364	0.1172429324
365	0.1171185731
366	0.1170386496
367	0.1169304392
368	0.1168503955
369	0.1167361619
370	0.1166108518
371	0.1165162902
372	0.1163894252
373	0.116286544
374	0.1162040728
375	0.1161266835
376	0.1160274103
377	0.115911985
378	0.1157797618
379	0.1156752787
380	0.1155699232
381	0.1154808631
382	0.1154007964
383	0.1152926987
384	0.1152051444
385	0.1150766326
386	0.1149983332
387	0.1149174947
388	0.1148076467
389	0.1146880545
390	0.1146218213
391	0.1145385781
392	0.1144421801
393	0.1143361603
394	0.1142488285
395	0.1141500526
396	0.1140445599
397	0.1139773333
398	0.1138754092
399	0.1137831407
400	0.1136865608
401	0.113626098
402	0.1135603073
403	0.1134469691
404	0.1133758743
405	0.1132846451
406	0.1131882696
407	0.1131263838
408	0.1130256451
409	0.1129484486
410	0.1128725741
411	0.1127874366
412	0.1127017777
413	0.1126254958
414	0.1125572059
415	0.1124786453
416	0.1123922671
417	0.1122968672
418	0.1122377668
419	0.1121478425
420	0.1120682056
421	0.1119982117
422	0.1119351197
423	0.1118642608
424	0.1117949189
425	0.1117218764
426	0.1116480986
427	0.1115905358
428	0.1115079093
429	0.1114486149
430	0.1113882151
431	0.1113073383
432	0.1112216893
433	0.1111526527
434	0.1111054613
435	0.1110274466
436	0.1109413073
437	0.1108932777
438	0.1108251941
439	0.1107241764
440	0.1106643308
441	0.1106123088
442	0.1105437815
443	0.1104711251
444	0.1103761585
445	0.1103289338
446	0.1102567438
447	0.1102148736
448	0.1101668558
449	0.1101087309
450	0.1100445943
451	0.1099673815
452	0.1099024754
453	0.1098636435
454	0.1098060172
455	0.1097595882
456	0.1096802762
457	0.109601102
458	0.1095469491
459	0.1095037147
460	0.1094438856
461	0.1093963855
462	0.1093231733
463	0.1092627055
464	0.1092077785
465	0.1091585091
466	0.1090868331
467	0.1090180301
468	0.1089618707
469	0.1088945081
470	0.1088273782
471	0.1087717837
472	0.1086887732
473	0.1086558296
474	0.1085844163
475	0.1085409388
476	0.1084940082
477	0.1084277428
478	0.1083551651
479	0.108269369
480	0.1082082212
481	0.1081453357
482	0.1080718744
483	0.1080185123
484	0.1079497343
485	0.1079157673
486	0.107862629
487	0.1078000613
488	0.1077509662
489	0.1076870899
490	0.1076236737
491	0.1075625909
492	0.1075170608
493	0.1074871608
494	0.1074295472
495	0.1073681259
496	0.1073041573
497	0.1072322661
498	0.1071778945
499	0.1071081182
500	0.1070753293
501	0.1069986972
502	0.1069342778
503	0.1068965195
504	0.1068277666
505	0.1067729352
506	0.1067100064
507	0.1066558457
508	0.1065921484
509	0.1065567098
510	0.1064932888
511	0.1064543524
512	0.106410972
513	0.1063493184
514	0.1062977454
515	0.1062355982
516	0.1061966372
517	0.1061623735
518	0.1060816299
519	0.106036639
520	0.10601061
521	0.1059514846
522	0.1058918001
523	0.1058545034
524	0.1058242597
525	0.1057936156
526	0.1057351392
527	0.1056803007
528	0.1056460759
529	0.1055784637
530	0.1055339807
531	0.1054675354
532	0.1054427764
533	0.1054017109
534	0.1053550166
535	0.1053060604
536	0.1052616146
537	0.1052105655
538	0.1051583568
539	0.1051192214
540	0.1050651324
541	0.1050076076
542	0.1049586175
543	0.1049303562
544	0.1048733659
545	0.1048080315
546	0.1047833965
547	0.1047544028
548	0.104701211
549	0.1046544225
550	0.104602361
551	0.1045541493
552	0.1045346628
553	0.1044792491
554	0.1044221217
555	0.1043754957
556	0.104326697
557	0.1043013249
558	0.1042625672
559	0.1042200526
560	0.1041917078
561	0.1041480785
562	0.1040924493
563	0.1040548697
564	0.104001696
565	0.1039478947
566	0.1039143804
567	0.1038845632
568	0.103853497
569	0.1038295873
570	0.1037908333
571	0.1037554301
572	0.1037050546
573	0.1036780253
574	0.1036357631
575	0.1036112275
576	0.1035627691
577	0.1035274726
578	0.1034740372
579	0.1034189819
580	0.1033814613
581	0.1033386491
582	0.1032889856
583	0.1032521964
584	0.1032172478
585	0.1031780435
586	0.1031441991
587	0.1031233207
588	0.1030840239
589	0.1030298283
590	0.1029830342
591	0.1029413365
592	0.1029116983
593	0.1028651051
594	0.1028243363
595	0.1027948238
596	0.1027659183
597	0.1027316812
598	0.1027000246
599	0.1026617963
600	0.1026309494
601	0.10259159
602	0.1025534126
603	0.1025150671
604	0.1024720804
605	0.1024487907
606	0.1024330563
607	0.1024090554
608	0.1023737502
609	0.1023377917
610	0.1022925112
611	0.1022409069
612	0.1021918537
613	0.1021581134
614	0.1021404643
615	0.1021120859
616	0.1020676019
617	0.1020255326
618	0.1019800517
619	0.1019324981
620	0.1019058716
621	0.1018760851
622	0.1018418593
623	0.1017943901
624	0.1017666588
625	0.1017275751
626	0.1016942267
627	0.1016604984
