iter	RMSE
0	0.4687900583
1	0.4650853446
2	0.4612407724
3	0.4574656003
4	0.4537489176
5	0.4500778403
6	0.4464667345
7	0.4427773024
8	0.4392494843
9	0.4356465263
10	0.4321311876
11	0.4286071161
12	0.4251219947
13	0.421765741
14	0.4185013761
15	0.4151882866
16	0.4118366424
17	0.408625044
18	0.4054880768
19	0.4023069488
20	0.3991070585
21	0.3959683055
22	0.3930040974
23	0.3899113932
24	0.3869704828
25	0.3839596044
26	0.3809512178
27	0.3780891312
28	0.375190693
29	0.3723224033
30	0.3695385487
31	0.3667718224
32	0.3641862919
33	0.3614432111
34	0.3587605032
35	0.3560859464
36	0.3534233415
37	0.3507768047
38	0.3481579765
39	0.3454756346
40	0.3429298379
41	0.3405052403
42	0.3379779688
43	0.335413185
44	0.3329698494
45	0.3307057915
46	0.3283224991
47	0.3258921495
48	0.3235110796
49	0.3211844262
50	0.3188805932
51	0.3166487294
52	0.3143362334
53	0.3121247891
54	0.309930337
55	0.3077613333
56	0.3055416452
57	0.3034634864
58	0.301352964
59	0.2992391039
60	0.2971448466
61	0.2951428071
62	0.293200583
63	0.2911284156
64	0.2892146827
65	0.2872192512
66	0.285364046
67	0.2834466949
68	0.2816154508
69	0.2797196426
70	0.2779851265
71	0.2761334632
72	0.274261127
73	0.2723928426
74	0.2706661736
75	0.2689070667
76	0.2672084372
77	0.2654855335
78	0.2637730023
79	0.2621160775
80	0.2604030659
81	0.2587452311
82	0.257067603
83	0.2554581691
84	0.2538135113
85	0.2521467779
86	0.2506581964
87	0.2490858234
88	0.2475584621
89	0.2460448032
90	0.2446189957
91	0.243144124
92	0.2416082325
93	0.2400918404
94	0.2387112978
95	0.2373750953
96	0.235931917
97	0.2345252987
98	0.2331534641
99	0.2318800138
100	0.2305862014
101	0.229254049
102	0.2279754468
103	0.2265975061
104	0.2253768188
105	0.2241493108
106	0.2229328738
107	0.2216491308
108	0.2204132457
109	0.2192687854
110	0.2180556024
111	0.2168828688
112	0.2156833313
113	0.2145023826
114	0.2133882642
115	0.2122692458
116	0.211169125
117	0.2100657667
118	0.208947594
119	0.2078627311
120	0.2068148498
121	0.2057283446
122	0.2046477109
123	0.2036441622
124	0.2025920278
125	0.2015443915
126	0.2005499742
127	0.1995952621
128	0.1985917152
129	0.1976692889
130	0.196825335
131	0.1959045401
132	0.1950041826
133	0.194017397
134	0.1931222022
135	0.1922669562
136	0.1913631713
137	0.1905069548
138	0.1895763683
139	0.1887158244
140	0.1878828738
141	0.1869990192
142	0.1862185849
143	0.1854502617
144	0.1845827011
145	0.1838395373
146	0.1830699796
147	0.1822938646
148	0.1815453284
149	0.1807788858
150	0.1800130376
151	0.1792353133
152	0.1785101698
153	0.177812274
154	0.1770954285
155	0.1763480561
156	0.1756527044
157	0.1750082385
158	0.1743256672
159	0.1736799711
160	0.1730424328
161	0.1723514386
162	0.1716599771
163	0.1709800033
164	0.1703881664
165	0.1698310386
166	0.1691473082
167	0.1685657632
168	0.1679914458
169	0.1674149034
170	0.1668690799
171	0.1663068468
172	0.1657524953
173	0.1652082255
174	0.1647261307
175	0.1641955452
176	0.1636357088
177	0.16304782
178	0.1625418735
179	0.1619722363
180	0.1614688997
181	0.1608888954
182	0.1603953032
183	0.1598871728
184	0.1593667952
185	0.1588785377
186	0.1584295413
187	0.1579471024
188	0.1574207196
189	0.1569273312
190	0.1564125871
191	0.1559686692
192	0.1555326841
193	0.1551191709
194	0.1547010038
