iter	RMSE
0	0.4687723671
1	0.4649323356
2	0.461063126
3	0.4573267093
4	0.453633214
5	0.4499337308
6	0.446256817
7	0.4425739092
8	0.439007436
9	0.4355904117
10	0.4320861873
11	0.4285940172
12	0.4251336731
13	0.4217161639
14	0.4183494781
15	0.4150701019
16	0.4117535663
17	0.4084843518
18	0.4052881317
19	0.4021373304
20	0.3990587581
21	0.395995114
22	0.3928999455
23	0.3897763899
24	0.3867446496
25	0.3837136626
26	0.3808158466
27	0.3778136664
28	0.3749466893
29	0.3720545591
30	0.3691847142
31	0.3663909838
32	0.3635669739
33	0.3608142543
34	0.3581497504
35	0.3554741038
36	0.3528265194
37	0.3502676455
38	0.347672125
39	0.3450286214
40	0.3424434281
41	0.3399583421
42	0.3374947584
43	0.3350735288
44	0.3325966716
45	0.3301587779
46	0.3277614357
47	0.3254202475
48	0.3230626428
49	0.3208174906
50	0.3185022779
51	0.3162798585
52	0.3139459877
53	0.3116991294
54	0.3094590424
55	0.3072548113
56	0.3051130448
57	0.3028791143
58	0.3007951459
59	0.2987823178
60	0.2967373179
61	0.2947691866
62	0.2927696831
63	0.2908256636
64	0.2889151881
65	0.2869614019
66	0.2849411689
67	0.2829683755
68	0.2809890903
69	0.2791928232
70	0.2773293913
71	0.2754047798
72	0.2735638916
73	0.271800344
74	0.2699989699
75	0.2682533496
76	0.2664974142
77	0.2648731018
78	0.2631521939
79	0.2615093326
80	0.2597536438
81	0.2581427083
82	0.256481591
83	0.2548323885
84	0.2532663357
85	0.2517380335
86	0.250186672
87	0.2486008253
88	0.2471536427
89	0.2457210703
90	0.2441883811
91	0.2428271765
92	0.241413289
93	0.2399370432
94	0.2385196679
95	0.2371078396
96	0.2357314572
97	0.2343798069
98	0.2329496029
99	0.2316373362
100	0.2303499068
101	0.2290259542
102	0.2277955887
103	0.2264503252
104	0.2252411312
105	0.2240346243
106	0.2228644035
107	0.2215596788
108	0.2202965231
109	0.2190872357
110	0.2179391681
111	0.2167171279
112	0.2156099402
113	0.2144954119
114	0.2132807713
115	0.2122149603
116	0.2111185737
117	0.2100335106
118	0.2088860944
119	0.2078252763
120	0.2068144072
121	0.2058483075
122	0.204818177
123	0.2038498636
124	0.2028271208
125	0.2018750096
126	0.2008847915
127	0.1999597222
128	0.198993909
129	0.1980246224
130	0.1970748594
131	0.1961217103
132	0.1952392734
133	0.1942940466
134	0.1933742412
135	0.1924494691
136	0.1914950969
137	0.1905765194
138	0.1897296325
139	0.1888633287
140	0.1880543783
141	0.1871558903
142	0.18634042
143	0.1855672302
144	0.1847831876
145	0.1840457247
146	0.1832889358
147	0.1825291433
148	0.1817510337
149	0.1809790189
150	0.1802924748
151	0.1796058533
152	0.1788786995
153	0.1781371401
154	0.1774158127
155	0.1767308542
156	0.176061548
157	0.1753303546
158	0.1746457911
159	0.1739796648
160	0.1733095083
161	0.1726742036
162	0.1720190793
163	0.1713618975
164	0.1706991516
165	0.1700800925
166	0.1694597155
167	0.1687788278
168	0.1682083553
169	0.1675593659
170	0.166893785
171	0.1663321756
172	0.165781196
173	0.1651889898
174	0.1646579133
175	0.1640271886
176	0.163440427
177	0.16283883
178	0.1623326459
179	0.1618142908
180	0.1613159486
181	0.1608139115
182	0.1602824226
183	0.1597664467
184	0.1592435413
185	0.1587638315
186	0.1582567105
187	0.1577818833
188	0.1573148605
189	0.1568427273
190	0.1564358212
191	0.1559806205
192	0.1555089821
193	0.1550806138
194	0.154593741
195	0.1541688892
196	0.1537754778
197	0.1532724704
198	0.1527995463
199	0.1523650192
200	0.1519442816
201	0.1515242783
202	0.1511175061
203	0.1507305136
204	0.1503340068
205	0.1499142331
206	0.1494887206
207	0.1491338368
208	0.1487654169
209	0.1484365157
210	0.1480102682
211	0.1476263603
212	0.1472714109
213	0.1469055398
214	0.1465158525
215	0.1461709853
216	0.1458538784
217	0.1455590311
218	0.1451784876
219	0.1447911316
220	0.1444414307
221	0.144098522
222	0.1437363254
223	0.1433712327
224	0.1430840025
225	0.1427136672
226	0.1423945726
227	0.1421136213
228	0.1417965434
229	0.1415351822
230	0.1412621573
231	0.1409554357
232	0.1406993577
233	0.1404371335
234	0.1401018653
235	0.1398101246
236	0.1395319335
237	0.1392592802
238	0.1390128556
239	0.1386908365
240	0.1384045292
241	0.138133218
242	0.1379000777
243	0.1376508978
244	0.1373799891
245	0.1371359828
246	0.1368569436
247	0.1366396627
248	0.1363719182
249	0.136099895
250	0.1358430451
251	0.1356218632
252	0.1354148088
253	0.1351505491
254	0.1349144844
255	0.1346546857
256	0.1343902082
257	0.1341391945
258	0.1339297096
259	0.13367682
260	0.1334720804
261	0.1332683659
262	0.1330129798
263	0.1327914055
264	0.1325569851
265	0.1323150597
266	0.1321470439
267	0.131908156
268	0.1317332902
269	0.1315594362
270	0.1313783656
271	0.1312182291
272	0.1310443386
273	0.1308888315
274	0.1307158205
275	0.1305376697
276	0.1303132535
277	0.130106343
278	0.1299457035
279	0.1297606865
280	0.1295424968
281	0.1293385582
282	0.1291448307
283	0.1289602203
284	0.1287752104
285	0.1285859878
286	0.1284078922
287	0.1282499394
288	0.128047698
289	0.1278447741
290	0.1276948403
291	0.1275176863
292	0.1273816931
293	0.1272145071
294	0.1270571954
295	0.1268871528
296	0.1267288162
297	0.12657768
298	0.1264295797
299	0.1262633805
300	0.1260857494
301	0.1259221734
302	0.1257931015
303	0.1256650584
304	0.1255402682
305	0.1253798658
306	0.125224184
307	0.1250515011
308	0.1249058406
309	0.1247316959
310	0.1246231363
311	0.1244339391
312	0.1242677051
313	0.1241421048
314	0.1239796402
315	0.1238499082
316	0.123694015
317	0.1235532274
318	0.1234372552
319	0.1233039686
320	0.1231816418
321	0.1230334913
322	0.1229220245
323	0.1227770793
324	0.1226407989
325	0.1225171691
326	0.1223948438
327	0.1222804233
328	0.1221652607
329	0.1220373342
330	0.1218933483
331	0.121766833
332	0.121604719
333	0.1215034883
334	0.1213708832
335	0.1212826761
336	0.1211555506
337	0.1210217557
338	0.1208900661
339	0.1207909076
340	0.1206530914
341	0.1205394447
342	0.1204592506
343	0.12033641
344	0.1202376306
345	0.1201420556
346	0.1200178449
347	0.1199104409
348	0.1197849093
349	0.1196593062
350	0.1195330738
351	0.1194489628
352	0.1193625845
353	0.1192511815
354	0.1191473155
355	0.1190346462
356	0.1189462864
357	0.1188365075
358	0.1187123824
359	0.1185974356
360	0.1185060879
361	0.1183942991
362	0.1182759468
363	0.1181675502
364	0.11806112
365	0.1179398784
366	0.1178347828
367	0.1177210973
368	0.1176225026
369	0.1175127545
370	0.1173957548
371	0.1172915236
372	0.1171963349
373	0.1171044939
374	0.1170158865
375	0.1169135956
376	0.1168194564
377	0.1167100593
378	0.116619869
379	0.1165165274
380	0.1164245918
381	0.1163290519
382	0.116224159
383	0.116121435
384	0.1160233852
385	0.1159358219
386	0.1158342628
387	0.1157362327
388	0.1156445823
389	0.1155535754
390	0.1154661855
391	0.1153672561
392	0.1152972568
393	0.1152069706
394	0.1151085166
395	0.1150576235
396	0.1149520415
397	0.1148563069
398	0.114765105
399	0.1146724565
400	0.1145908576
401	0.1144931978
402	0.114380587
403	0.1143114286
404	0.1142407342
405	0.1141489102
406	0.1140766195
407	0.1139985506
408	0.1139296083
409	0.1138349167
410	0.1137512625
411	0.1136656974
412	0.1135838168
413	0.1135137313
414	0.1134293318
415	0.1133458171
416	0.1132640894
417	0.1131921963
418	0.1131189435
419	0.113040066
420	0.1129488781
421	0.1129039778
422	0.1128239208
423	0.1127593109
424	0.1127029955
425	0.112629319
426	0.1125630073
427	0.1124731709
428	0.1123976019
429	0.112332594
430	0.1122548977
431	0.1121644687
432	0.1120647063
433	0.1120063743
434	0.1119283773
435	0.1118407819
436	0.1117594273
437	0.1116890532
438	0.1116080097
439	0.1115318501
440	0.1114768084
441	0.1114105215
442	0.1113186917
443	0.1112735629
444	0.1112044673
445	0.1111277417
446	0.1110696807
447	0.1110050332
448	0.1109527265
449	0.1108723275
450	0.1107917081
451	0.1106960878
452	0.1106364234
453	0.1105983647
454	0.1105460864
455	0.1104948072
456	0.1104373447
457	0.1103461083
458	0.1102946487
459	0.110211726
460	0.1101606246
461	0.1101092491
462	0.1100495566
463	0.1099968308
464	0.1099533059
465	0.1099015289
466	0.1098391327
467	0.1097846356
468	0.1097300528
469	0.1096790116
470	0.1096290506
471	0.1095787186
472	0.1095288261
473	0.1094687803
474	0.1094082644
475	0.1093197744
476	0.1092396417
477	0.1091855717
478	0.1091313698
479	0.1090865696
480	0.1090256437
481	0.1089603769
482	0.1089030211
483	0.1088435703
484	0.1087947351
485	0.108738637
486	0.1086629456
487	0.1086044855
488	0.1085574507
489	0.1084974
490	0.1084234754
491	0.1083618129
492	0.1083044669
493	0.1082601553
494	0.1082060298
495	0.1081563708
496	0.108086197
497	0.1080172617
498	0.1079593118
499	0.1079235662
500	0.1078739627
501	0.1078276088
502	0.1077874249
503	0.1077226336
504	0.1076768725
505	0.1076347257
506	0.1075615531
507	0.1075302111
508	0.1074756083
509	0.1074428403
510	0.1073936971
511	0.107339181
512	0.1072922051
513	0.1072324072
514	0.1071891718
515	0.107135166
516	0.1070806338
517	0.1070280183
518	0.1069728898
519	0.1069357317
520	0.1068840456
521	0.1068305328
522	0.1067766669
523	0.1067041624
524	0.1066585856
525	0.1065994532
526	0.1065304695
527	0.1064755258
528	0.1064281962
529	0.1063808993
530	0.1063305361
531	0.1062898958
532	0.1062521164
533	0.1062055191
534	0.106140147
535	0.1060996857
536	0.1060543731
537	0.1060099947
538	0.1059685611
539	0.1059164879
540	0.1058687147
541	0.1058207082
542	0.1057819538
543	0.1057358593
544	0.1056814548
545	0.1056396244
546	0.1055867063
547	0.1055538725
548	0.1055301801
549	0.105484797
550	0.105444759
551	0.1054064517
552	0.1053677362
553	0.1053278944
554	0.1052833908
555	0.1052225988
556	0.1051696562
557	0.1051317882
558	0.1050891716
559	0.1050476783
560	0.1050166101
561	0.1049757749
562	0.1049364566
563	0.1049034089
564	0.1048547223
565	0.1048176597
566	0.1047866494
567	0.1047369783
568	0.1046941245
569	0.1046618168
570	0.1046186891
571	0.1045835361
572	0.1045444338
573	0.1045196688
574	0.1044871539
575	0.1044430169
576	0.1043900591
577	0.1043587193
578	0.1043136024
579	0.1042633537
580	0.1042192225
581	0.1041810349
582	0.1041487354
583	0.1041142739
584	0.1040764646
585	0.1040486677
586	0.1040121218
587	0.1039765627
588	0.1039446273
589	0.1039104603
590	0.1038916474
591	0.1038596342
592	0.1038286029
593	0.1037880935
594	0.1037535379
595	0.1037235195
596	0.1036873428
597	0.1036564161
598	0.1036204036
599	0.1035820695
600	0.1035589028
601	0.1035367029
602	0.1035002216
603	0.1034714514
604	0.1034275529
605	0.1033999633
606	0.1033685056
607	0.1033363671
608	0.1033114236
609	0.103278438
610	0.1032459607
611	0.1032221124
612	0.1031917878
613	0.1031537224
614	0.1031216163
615	0.1030931548
616	0.1030734738
617	0.1030355453
618	0.1030087922
619	0.1029856764
620	0.1029590861
621	0.1029192112
622	0.1028903185
623	0.1028687246
624	0.1028472538
625	0.1028126853
626	0.1027926305
627	0.1027614783
628	0.1027370019
629	0.1027089963
630	0.1026665888
631	0.1026331652
632	0.1026047628
633	0.1025744475
634	0.1025395535
635	0.1025142568
636	0.1024759325
637	0.1024525792
638	0.1024303188
639	0.1023914955
640	0.1023531226
641	0.1023177821
642	0.1022822134
643	0.1022645829
644	0.1022365166
645	0.1022102623
646	0.1021818872
647	0.1021522376
648	0.1021263805
649	0.1020934806
650	0.1020605829
651	0.1020302075
