iter	Passed	Remaining
0	17	87166
1	34	86119
2	48	80859
3	62	78365
4	76	76335
5	90	75699
6	103	73948
7	120	75327
8	134	74860
9	151	75743
10	165	75174
11	180	75189
12	193	74393
13	209	74445
14	222	73873
15	236	73533
16	250	73530
17	265	73373
18	280	73645
19	301	75021
20	323	76615
21	342	77413
22	357	77349
23	372	77180
24	385	76790
25	401	76851
26	415	76449
27	432	76748
28	450	77270
29	469	77825
30	485	77841
31	499	77583
32	514	77496
33	528	77196
34	542	77002
35	556	76736
36	571	76622
37	586	76590
38	600	76384
39	614	76219
40	629	76089
41	642	75821
42	656	75717
43	672	75699
44	687	75755
45	703	75752
46	717	75623
47	732	75610
48	746	75441
49	761	75346
50	775	75216
51	788	75065
52	803	75008
53	817	74898
54	832	74843
55	846	74763
56	861	74714
57	875	74639
58	891	74638
59	907	74723
60	922	74653
61	936	74566
62	959	75170
63	979	75508
64	997	75739
65	1015	75933
66	1031	75926
67	1046	75897
68	1059	75705
69	1073	75613
70	1088	75588
71	1103	75540
72	1117	75441
73	1132	75361
74	1144	75151
75	1160	75156
76	1174	75083
77	1188	75023
78	1202	74909
79	1217	74856
80	1230	74737
81	1244	74666
82	1259	74642
83	1274	74575
84	1287	74460
85	1301	74371
86	1316	74344
87	1330	74247
88	1343	74158
89	1358	74125
90	1372	74053
91	1387	74046
92	1400	73919
93	1416	73916
94	1430	73872
95	1444	73797
96	1459	73790
97	1475	73820
98	1490	73772
99	1504	73731
100	1518	73667
101	1533	73658
102	1550	73733
103	1570	73934
104	1590	74161
105	1609	74318
106	1626	74381
107	1639	74256
108	1655	74287
109	1668	74191
110	1682	74122
111	1695	74010
112	1710	73980
113	1724	73929
114	1738	73869
115	1753	73842
116	1768	73817
117	1782	73753
118	1796	73690
119	1810	73621
120	1824	73579
121	1838	73510
122	1851	73432
123	1865	73375
124	1879	73292
125	1894	73282
126	1907	73206
127	1921	73140
128	1935	73080
129	1947	72973
130	1962	72951
131	1976	72901
132	1990	72846
133	2005	72811
134	2018	72756
135	2033	72715
136	2047	72676
137	2060	72582
138	2074	72557
139	2087	72452
140	2102	72438
141	2116	72403
142	2130	72365
143	2143	72297
144	2157	72225
145	2170	72154
146	2183	72092
147	2199	72112
148	2214	72097
149	2228	72039
150	2241	71966
151	2254	71901
152	2267	71842
153	2280	71777
154	2296	71775
155	2309	71721
156	2324	71690
157	2337	71634
158	2351	71587
159	2365	71554
160	2379	71525
161	2394	71505
162	2408	71463
163	2424	71485
164	2440	71521
165	2456	71523
166	2472	71545
167	2486	71520
168	2500	71491
169	2515	71470
170	2529	71428
171	2542	71375
172	2558	71392
173	2574	71401
174	2587	71332
175	2602	71319
176	2616	71286
177	2629	71229
178	2643	71204
179	2659	71219
180	2673	71169
181	2687	71155
182	2700	71085
183	2716	71112
184	2730	71077
185	2742	70993
186	2756	70954
187	2771	70927
188	2784	70874
189	2799	70868
190	2813	70828
191	2828	70823
192	2841	70760
193	2855	70728
194	2869	70712
195	2884	70708
196	2900	70705
197	2914	70690
198	2927	70622
199	2939	70552
200	2955	70555
201	2972	70608
202	2988	70619
203	3003	70616
204	3019	70616
205	3033	70605
206	3046	70543
207	3060	70516
208	3074	70476
209	3087	70423
210	3100	70381
211	3115	70370
212	3128	70320
213	3142	70269
