iter	Passed	Remaining
0	127	636285
1	171	427734
2	212	353483
3	258	322611
4	303	303294
5	341	284236
6	382	273135
7	423	263983
8	464	257825
9	506	252882
10	548	248779
11	589	244987
12	629	241556
13	668	238134
14	710	235979
15	752	234316
16	794	232843
17	832	230304
18	868	227785
19	903	225045
20	943	223777
21	984	222785
22	1027	222331
23	1065	220992
24	1104	219877
25	1149	219905
26	1218	224392
27	1273	226083
28	1314	225246
29	1354	224434
30	1389	222763
31	1428	221757
32	1468	220974
33	1510	220601
34	1557	220874
35	1597	220264
36	1639	219869
37	1692	220948
38	1728	219933
39	1769	219390
40	1813	219356
41	1857	219218
42	1895	218477
43	1937	218207
44	1978	217838
45	2020	217641
46	2064	217527
47	2107	217381
48	2150	217280
49	2192	217018
50	2229	216311
51	2264	215439
52	2300	214730
53	2350	215319
54	2390	214957
55	2436	215064
56	2476	214739
57	2508	213773
58	2552	213735
59	2594	213641
60	2638	213611
61	2678	213333
62	2713	212660
63	2757	212672
64	2797	212368
65	2850	213117
66	2893	213068
67	2936	212980
68	2978	212889
69	3023	212960
70	3069	213116
71	3112	213018
72	3159	213241
73	3196	212806
74	3235	212474
75	3274	212159
76	3311	211742
77	3352	211567
78	3393	211370
79	3429	210903
80	3472	210849
81	3513	210752
82	3549	210251
83	3589	210078
84	3624	209579
85	3666	209484
86	3702	209080
87	3741	208837
88	3783	208758
89	3823	208615
90	3863	208433
91	3903	208220
92	3943	208048
93	3985	208019
94	4030	208080
95	4072	208021
96	4112	207886
97	4154	207787
98	4188	207333
99	4226	207101
100	4270	207134
101	4308	206882
102	4347	206714
103	4392	206767
104	4432	206648
105	4473	206556
106	4512	206347
107	4561	206630
108	4603	206581
109	4678	207960
110	4720	207926
111	4757	207631
112	4798	207514
113	4838	207385
114	4879	207255
115	4922	207259
116	4959	206990
117	4999	206855
118	5038	206651
119	5076	206464
120	5114	206237
121	5154	206084
122	5194	205964
123	5238	205983
124	5275	205726
125	5310	205424
126	5346	205136
127	5381	204829
128	5424	204817
129	5467	204827
130	5508	204753
131	5551	204733
